[LOG] System::create                           : Header version = 2.02.13. Current version = 2.02.13.
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_160.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_160.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_161.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_161.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_162.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_162.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_163.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_163.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_164.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_164.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_165.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_165.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_166.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_166.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_167.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_167.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_168.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_168.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_169.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_169.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_170.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_170.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_171.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_171.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_172.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_172.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_173.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_173.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_174.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_174.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_175.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_175.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_176.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_176.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_177.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_177.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_178.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_178.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_179.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_179.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_180.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_180.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_181.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_181.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_182.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_182.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_183.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_183.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_184.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_184.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_185.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_185.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_186.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_186.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_187.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_187.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_188.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_188.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_189.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_189.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_190.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_190.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_191.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_191.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_192.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_192.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_193.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_193.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_194.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_194.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_195.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_195.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_196.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_196.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_197.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_197.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_198.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_198.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_199.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_199.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_200.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_200.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_201.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_201.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_202.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_202.bank'
[LOG] Manager::readBank                        : fileversion = 142, compatVersion = 140 (oldest = 44, newest = 142)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/pipo9/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-qsxWJY/hotswap_203.bank
